flight_id,A_i,S_i,U_i,original_gate,S,L,XL,B,flight_number
128,898,92,911,12,0,1,0,80,CPA420/421
129,1060,50,1063,12,1,0,0,40,AIQ231/231
130,1089,96,1127,12,1,0,0,40,TVJ569/569
131,1208,77,1218,12,1,0,0,40,HKE116/117
132,1312,30,1316,12,1,0,0,40,SJX726
133,1362,30,1376,12,1,0,0,40,TTW552
134,80,65,85,13,1,0,0,40,TGW897/897
135,349,56,361,13,0,1,0,80,TGW876/876
136,450,60,443,13,1,0,0,40,SJX820
137,512,83,524,13,1,0,0,40,CPA422/477
138,728,82,745,13,0,1,0,80,AIQ230/230
139,811,79,822,13,1,0,0,40,TVJ568/568
140,890,100,899,13,0,1,0,80,TGW877/877
141,1053,77,1065,13,0,1,0,80,THA634/635
142,1257,53,1264,13,1,0,0,40,AMU618/615
143,1350,30,1356,13,1,0,0,40,XAX379
144,71,30,91,14,1,0,0,40,CPA408
145,340,60,344,14,1,0,0,40,TTW210
146,420,60,416,14,1,0,0,40,CPA407
147,510,60,504,14,0,1,0,80,CAL731
148,600,55,614,14,1,0,0,40,CPA488/489
149,710,70,727,14,1,0,0,40,CPA450/450
150,815,60,816,14,1,0,0,40,CAL915
151,881,89,892,14,0,1,0,80,CPA400/443
152,978,82,988,14,1,0,0,40,TGW896/896
153,1070,85,1078,14,1,0,0,40,CPA565/565
154,1200,65,1206,14,1,0,0,40,CPA402/479
155,1284,30,1297,14,0,1,0,80,SJX839
156,-45,60,-50,15,1,0,0,40,XAX379
157,320,60,319,15,0,1,0,80,TTW234
158,389,86,389,15,0,1,0,80,EVA206/184
159,505,60,510,15,1,0,0,40,EVA215
160,622,53,624,15,0,1,0,80,CQH8951/8952
161,678,77,682,15,1,0,0,40,TTW655/720
162,773,72,789,15,0,1,0,80,THA632/633
163,863,67,870,15,0,1,0,80,TGW870/870
164,976,30,986,15,1,0,0,40,SJX871
165,1037,83,1051,15,1,0,0,40,CPA472/473
166,1112,30,1115,15,0,1,0,80,SJX803
167,1177,30,1183,15,1,0,0,40,SJX863
