航班ID,原始指派,最新指派,更新後抵達時間,作業開始時間,作業結束時間,班號
164,15,15,986,986,1016,SJX871
165,15,15,1051,1051,1134,CPA472/473
166,15,15,1115,1134,1164,SJX803
167,15,41,1183,1183,1213,SJX863
168,15,15,1276,1276,1306,CAL187
169,15,15,1358,1358,1388,EVA256
170,16,16,73,73,168,JJP011/012
171,16,16,274,274,304,EVA055
172,16,16,433,433,493,EVA281
173,16,16,524,524,584,EVA227
174,16,16,604,604,677,CPA564/564
175,16,16,770,770,888,EVA133/385
176,16,16,915,915,1013,EVA802/805
177,16,16,1058,1058,1088,EVA212
178,16,16,1184,1184,1244,EVA205
179,16,16,1331,1331,1361,EVA068
180,16,16,1386,1386,1416,SJX805
181,17,17,75,75,160,JJP051/050
182,17,17,297,297,524,SJX001/800
183,17,17,550,550,610,EVA707
184,17,17,761,761,831,HKE110/111
185,17,17,851,851,970,EVA234/716
186,17,17,1007,1014,1196,EVA384/381
187,17,17,1199,1199,1229,EVA202
188,17,17,1281,1281,1311,EVA872
189,18,18,-38,-38,22,SJX002
190,18,18,255,255,285,SJX031
191,18,18,340,340,370,EVA051
192,18,18,426,426,486,SJX771
193,18,18,535,569,629,EVA712
194,18,18,610,629,720,CPA530/530
195,18,18,734,734,818,CPA494/495
196,18,18,851,851,1010,EVA105/871
197,18,18,1019,1019,1102,EVA266/857
198,18,18,1105,1105,1212,CPA531/531
199,18,18,1217,1217,1247,EVA129
200,18,18,1293,1308,1338,EVA159
201,19,19,-25,-25,35,SJX012
202,19,47,330,330,390,EVA178
203,19,19,421,421,548,EVA031/397
204,19,19,579,579,639,SJX802
205,19,19,703,703,763,EVA869
206,19,19,780,780,893,SJX847/713
207,19,19,948,948,978,EVA711
208,19,19,961,978,1038,UIA187
209,19,19,1045,1045,1075,EVA392
210,19,19,1100,1100,1191,CPA451/451
211,19,19,1275,1275,1450,EVA238/071
212,20,20,299,299,503,EVA017/067
213,20,20,528,563,623,EVA383
214,20,20,743,743,836,AAR711/712
215,20,20,926,934,1204,EVA272/012
216,20,20,1192,1204,1438,EVA216/087
217,21,21,227,227,257,EVA023
218,21,21,298,298,328,EVA009
219,21,21,356,356,553,EVA096/237
220,21,21,806,806,893,CCA195/196
221,21,21,899,899,1004,EVA282/722
222,21,21,1003,1004,1267,EVA005/261
223,21,21,1393,1393,1423,EVA195
224,21,21,1329,1329,1389,EVA024
225,22,22,276,276,569,EVA011/271
226,22,22,718,718,822,EVA892/130
227,22,22,855,855,915,EVA160
228,22,22,952,952,1153,EVA398/032
229,22,22,1159,1159,1189,EVA115
230,22,22,1241,1241,1271,EVA101
231,22,22,1358,1358,1418,EVA028
232,23,23,416,416,476,EVA225
233,23,23,505,505,565,EVA391
234,23,23,997,997,1027,EVA131
235,23,23,1110,1110,1170,EVA036
236,23,23,1224,1224,1453,EVA228/016
237,24,24,278,278,459,EVA027/395
238,24,24,487,487,617,EVA262/008
239,24,24,809,809,869,EVA765
240,24,24,967,967,997,EVA062
241,24,24,1069,1069,1187,EVA226/018
242,24,24,1235,1248,1308,EVA052
243,24,24,1350,1350,1410,EVA010
244,24,24,1429,1470,1500,EVA715
245,25,25,306,306,336,EVA015
246,25,25,388,388,418,EVA035
247,25,25,483,483,543,EVA233
248,25,25,838,838,926,EVA169/277
249,25,25,959,959,1048,AAR713/714
250,25,25,1077,1077,1215,SJX742/010
251,25,25,1223,1223,1253,EVA185
252,25,25,1374,1374,1434,EVA026
253,26,26,367,367,427,EVA891
254,26,26,477,477,537,EVA265
255,26,26,553,597,657,EVA006
256,26,26,673,673,750,CRK252/253
257,26,26,782,782,923,EVA177/196
258,26,26,932,932,997,ABL791/792
259,26,26,999,999,1029,EVA007
260,26,26,1149,1149,1179,EVA856
261,26,26,1228,1228,1258,EVA396
262,26,26,1283,1283,1313,EVA278
263,26,24,1367,1410,1470,EVA095
264,27,27,285,285,315,EVA025
265,27,27,449,471,531,EVA211
266,27,27,541,541,601,EVA801
267,27,27,636,636,851,EVA113/855
268,27,27,877,877,956,CRK254/255
269,27,27,958,958,988,EVA183
270,27,27,1051,1051,1205,EVA870/056
271,27,27,1283,1283,1343,EVA061
272,27,27,1370,1370,1400,SJX714
273,28,28,347,382,442,EVA112
274,28,28,439,442,502,EVA851
275,28,28,541,541,601,EVA867
276,28,28,712,712,809,ABL793/794
277,28,28,802,809,958,SJX782/703
278,28,28,965,965,1154,EVA258/809
279,28,28,1149,1154,1224,CRK284/285
280,28,28,1242,1242,1312,CRK282/283
281,28,28,1333,1342,1372,SJX792
282,28,28,1399,1402,1432,EVA810
283,29,29,60,60,140,CEB310/311
284,29,29,197,197,464,SJX009/711
285,29,29,478,524,584,SJX741
286,29,29,691,691,751,CAL104
287,29,29,783,783,853,CAL904/521
288,29,29,853,853,943,CES5007/5008
289,29,29,950,950,1026,CAL153/919
290,29,29,1093,1093,1123,CAL1806
291,29,29,1231,1231,1290,CES5005/5006
292,29,29,1300,1300,1330,CAL864
293,29,29,1389,1389,1419,CAL836
294,30,30,325,325,492,CAL054/753
295,30,30,529,529,589,UAL872
296,30,30,675,675,757,CCA149/150
297,30,30,768,768,828,SJX745
298,30,30,853,853,952,CAL155/186
299,30,30,990,990,1058,CSZ9073/9074
300,30,30,1116,1116,1423,CAL754/022
301,31,31,346,346,406,CAL278
302,31,41,450,450,480,CAL838
303,31,31,461,478,538,MDA991
304,31,31,606,606,686,CES2009/2010
305,31,31,541,541,601,EVA118
306,31,31,728,728,886,CAL107/793
307,31,31,898,898,1003,CAL706/116
308,31,31,1006,1006,1074,CES5001/5002
309,31,31,1111,1111,1141,EVA117
310,31,31,1179,1179,1344,CAL195/837
311,32,32,351,351,411,CAL110
312,32,32,429,429,489,CAL156
313,32,32,545,545,605,JAL802
314,32,32,657,657,757,CSN3087/3088
315,32,32,775,775,877,CAL279/194
316,32,32,918,918,948,EVA868
317,32,32,1001,1001,1075,SIA878/879
318,32,32,1162,1162,1192,CAL522
319,32,32,1238,1238,1268,CAL105
320,32,32,1374,1374,1434,CAL053
321,33,33,222,222,282,CAL031
322,33,33,383,383,443,CAL154
323,33,33,480,480,540,CAL100
324,33,33,624,624,676,CXA887/888
325,33,33,721,721,866,CAL151/172
326,33,33,925,925,1042,CAL512/150
327,33,33,1096,1096,1319,THY024/025
328,33,33,1303,1319,1462,CAL504/008
329,34,34,76,76,141,SIA034/034
330,34,34,209,209,239,UAL853
331,34,34,324,324,354,CAL052
332,34,34,436,436,496,CAL120
333,34,34,512,512,572,DAL068
334,34,34,612,612,687,CXA879/880
335,34,34,697,697,785,CCA185/186
336,34,34,793,793,823,MDA992
337,34,34,833,833,893,CAL108
338,34,34,921,921,951,EVA708
339,34,34,1015,1015,1045,UAE366
340,34,34,1145,1145,1175,CAL131
341,34,34,1274,1274,1304,CAL173
342,34,34,1379,1391,1451,UAE367
343,35,35,261,261,291,SJX011
344,35,35,360,360,420,SJX781
345,35,35,458,458,518,CAL501
346,35,35,553,553,613,EVA116
347,35,35,642,642,721,CSN3023/3024
348,35,35,794,794,854,UAL852
349,35,35,887,887,1028,CAL157/122
350,35,35,1033,1033,1123,CES2087/2088
351,35,35,1212,1212,1242,DAL069
352,35,35,-54,-54,6,CAL004
353,36,36,291,291,321,CAL003
354,36,36,404,413,473,HVN579
355,36,44,501,501,590,THY124/125
356,36,36,662,662,791,CHH7987/7988
357,36,36,806,806,879,SJA876/877
358,36,36,970,970,1088,CSN3095/3096
359,36,36,1129,1129,1159,SJX772
360,36,36,1216,1216,1246,CAL528
361,36,36,1307,1307,1337,EVA806
362,36,36,1368,1371,1401,CAL109
363,37,37,398,398,458,CAL511
364,37,37,489,489,549,CAL152
365,37,37,555,555,657,CES2981/2982
366,37,37,684,684,776,JAL8663/8664
367,37,37,782,782,893,CSN3097/3098
368,37,37,952,952,982,SJX712
369,37,37,1102,1102,1132,UAL871
370,37,37,1237,1237,1267,JAL809
371,37,37,1333,1333,1363,CAL117
372,38,38,410,410,470,HVN571
373,38,38,489,489,549,TTW206
374,38,15,917,937,967,TTW235
375,38,4,1108,1108,1146,VJC842/843
376,38,25,1322,1329,1359,SJX236
377,39,29,427,464,524,CAL188
378,39,39,881,881,1150,AXM1510/1511
379,39,39,710,710,867,TTW241/262
380,39,4,946,970,1076,TLM399/399
381,39,24,1195,1195,1248,VJC942/943
382,39,18,1378,1378,1408,THA636
383,40,27,-46,-46,14,TTW216
384,40,27,413,413,471,TVJ566/566
385,41,19,349,349,409,TTW230
386,41,31,418,418,478,SJX201
387,41,41,797,797,928,TTW211/212
388,41,41,945,945,1106,TTW207/232
389,41,21,1276,1276,1306,TTW229
390,42,5,330,330,390,TTW200
391,42,42,427,427,487,SJX233
392,42,20,863,863,934,TVJ567/567
393,42,25,1299,1299,1329,TTW213
394,43,16,361,361,421,TTW236
395,43,43,454,454,484,TTW217
396,43,3,830,831,891,CAL7843
397,43,14,1317,1327,1357,TTW233
398,44,11,316,316,376,EVA134
399,44,36,474,474,541,TLM398/398
400,44,44,908,908,1025,SJX716/791
401,44,28,1370,1372,1402,HVN570
402,44,26,1375,1375,1405,EVA858
403,45,27,351,351,411,EVA166
404,45,14,440,476,536,EVA106
405,45,45,767,767,969,SJX202/205
406,45,18,1278,1278,1308,HVN578
407,45,34,1361,1361,1391,SJX746
408,46,46,416,416,476,THA637
409,46,23,830,830,997,EVA157/186
410,46,32,1258,1268,1298,CAL7846
411,47,36,370,370,413,VJC840/841
412,47,17,984,984,1014,EVA165
413,47,28,1306,1312,1342,EVA386
414,48,48,390,390,603,EVA382/255
415,48,48,812,812,920,EVA852/102
416,48,16,1027,1027,1057,EVA197
417,48,11,1362,1382,1412,EVA766
418,49,49,477,477,537,EVA132
419,49,9,1315,1315,1345,UIA188
420,50,50,397,397,633,EVA088/201
421,50,28,322,322,382,EVA158
422,50,17,1306,1311,1341,
423,51,51,384,384,444,EVA721
424,51,20,499,503,563,EVA257
425,51,18,509,509,569,EVA198
426,51,36,1341,1341,1371,EVA315
427,52,15,393,475,535,SJX704
428,52,26,509,537,597,EVA170
