flight_index,flight_number,original_gate_name,original_gate_index,start_time_str,end_time_str,start_time_min,end_time_min,service_time_min
298,CAL784/053,D1,28,2200,2355,1320,1435,115
299,CAL023,D2,29,0411,,251,,
300,CAL054/753,D2,29,0516,0805,316,485,169
301,UAL872,D2,29,,0950,,590,
302,CCA149/150,D2,29,1120,1230,680,750,70
303,SJX745,D2,29,,1350,,830,
304,CAL155/186,D2,29,1430,1545,870,945,75
305,CSZ9073/9074,D2,29,1630,1735,990,1055,65
306,CAL754/022,D2,29,1835,2330,1115,1410,295
307,CAL278,D3,30,,0655,,415,
308,CAL838,D3,30,0725,,445,,
309,MDA991,D3,30,,0840,,520,
310,EVA118,D3,30,,1005,,605,
311,CES2009/2010,D3,30,1020,1115,620,675,55
312,CAL107/793,D3,30,1215,1440,735,880,145
313,CAL706/116,D3,30,1455,1640,895,1000,105
314,CES5001/5002,D3,30,1650,1750,1010,1070,60
315,CAL522/709,D3,30,1940,2345,1180,1425,245
316,CAL110,D4,31,,0650,,410,
317,CAL156,D4,31,,0815,,495,
318,JAL802,D4,31,,1000,,600,
319,CSN3087/3088,D4,31,1115,1230,675,750,75
320,CAL279/194,D4,31,1310,1430,790,870,80
321,EVA868,D4,31,1520,,920,,
322,SIA878/879,D4,31,1640,1745,1000,1065,65
323,CAL131,D4,31,1815,,1095,,
324,DAL069,D4,31,1955,,1195,,
325,CAL005/057,D4,2130,2330,,1410,,
326,CAL031,D5,32,0420,,260,,
327,CAL154,D5,32,,0730,,450,
328,CAL100,D5,32,,0855,,535,
329,CXA887/888,D5,32,1010,1110,610,670,60
330,CAL151/172,D5,32,1155,1420,715,860,145
331,CAL512/122,D5,32,1545,1705,945,1025,80
332,THY024/025,D5,32,1755,2140,1075,1300,225
333,CAL504/008,D5,32,2150,2350,1310,1430,120
334,UAL853,D6,33,0333,,213,,
335,CAL052,D6,33,0514,,314,,
336,CAL120,D6,33,,0800,,480,
337,DAL068,D6,33,,0935,,575,
338,CXA879/880,D6,33,1025,1125,625,685,60
339,CCA185/186,D6,33,1140,1300,700,780,80
340,MDA992,D6,33,1330,,810,,
341,CAL108,D6,33,,1440,,880,
342,UAE366,D6,33,1615,,975,,
343,EVA117,D6,33,1855,,1135,,
344,CAL105,D6,33,2035,,1235,,
345,UAE367,D6,33,,2350,,1430,
346,SJX011,D7,34,0426,,266,,
347,SJX781,D7,34,,0700,,420,
348,CAL501,D7,34,,0840,,520,
349,EVA116,D7,34,,1010,,610,
350,CSN3023/3024,D7,34,1050,1150,650,710,60
351,UAL852,D7,34,,1415,,855,
352,CAL157/150,D7,34,1500,1715,900,1035,135
353,CES2087/2088,D7,34,1730,1840,1050,1120,70
354,CAL195,D7,34,1955,,1195,,
355,CAL004,D7,34,,2330,,1410,
356,CAL003,D8,35,0509,,309,,
357,HVN579,D8,35,,0730,,450,
358,CAL152,D8,35,,0900,,540,
359,JAL8663/8664,D8,35,1130,1240,690,760,70
360,SIA876/877,D8,35,1310,1420,790,860,70
361,EVA708,D8,35,1520,,920,,
362,CSN3095/3096,D8,35,1635,1755,995,1075,80
363,SJX772,D8,35,1850,,1130,,
364,CAL528,D8,35,2000,,1200,,
365,CAL123,D8,35,2130,,1290,,
366,CAL109,D8,35,2245,,1365,,
367,CAL511,D9,36,,0730,,450,
368,THY124/125,D9,36,0755,0925,475,565,90
369,CES2981/2982,D9,36,0950,1050,590,650,60
370,CHH7987/7988,D9,36,1125,1305,685,785,100
371,CSN3097/3098,D9,36,1330,1450,810,890,80
372,SJX712,D9,36,1600,,960,,
373,CAL101,D9,36,1710,,1030,,
374,UAL871,D9,36,1845,,1125,,
375,JAL809,D9,36,2045,,1245,,
376,CAL117,D9,36,2225,,1345,,
377,TVJ566/566,601,37,0645,0745,405,465,60
378,TTW206,601,37,,0900,,540,
379,TTW235,601,37,1520,,920,,
380,VJC842/843,601,37,1800,1900,1080,1140,60
381,CAL864,601,37,2150,,1310,,
382,CAL188,602,38,,0755,,475,
383,TTW241/202,602,38,1155,1415,715,855,140
384,TLM399/399,602,38,1615,1720,975,1040,65
385,VJC942/643,602,38,1800,1900,1080,1140,60
386,THA636,602,38,2210,,1330,,
387,TTW216,603,39,,0010,,10,
388,TTW230,604,39,,0650,,410,
389,SJX201,604,40,,0850,,530,
390,TTW211/212,604,40,1310,1515,790,915,125
391,TTW207/232,604,40,1555,1820,955,1100,145
392,TTW229,604,40,2125,,1285,,
393,TTW200,605,41,,0635,,395,
394,SJX233,605,41,,0800,,480,
395,TVJ567/567,605,41,1425,1525,865,925,60
396,TTW213,605,41,2145,,1305,,
397,TTW236,606,42,,0700,,420,
398,TLM398/398,606,42,0755,0855,475,535,60
399,TTW233,606,42,2210,,1330,,
400,EVA134,607,43,,0620,,380,
401,HVN571,607,43,,0745,,465,
402,SJX716/791,607,43,1500,1650,900,1010,110
403,HVN570,607,43,2105,,1265,,
404,SJX704,607,43,2235,,1355,,
405,EVA166,608,44,,0655,,415,
406,EVA106,608,44,,0810,,490,
407,SJX202/205,608,44,1250,1600,770,960,190
408,HVN578,608,44,2110,,1270,,
409,SJX746,608,44,2240,,1360,,
410,THA637,609,45,,0755,,475,
411,EVA157/186,609,45,1355,1625,835,985,150
412,CAL7846,609,45,2125,,1285,,
413,TTW217,610,46,0800,,480,,
414,EVA382/255,611,47,0615,0950,375,590,215
415,EVA197,611,47,1705,,1025,,
416,EVA858,611,47,2255,,1375,,
417,EVA170,612,48,,0730,,450,
418,EVA315,612,48,,0910,,550,
419,EVA806,612,48,2205,,1325,,
420,EVA158,613,49,,0635,,395,
421,EVA088/201,613,49,0642,1020,402,620,218
422,EVA721,613,49,2200,,1320,,
423,EVA257,614,50,,0725,,445,
424,EVA198,614,50,,0900,,540,
425,UIA188,614,50,2135,,1295,,
426,EVA132,615,51,,0830,,510,
427,UAE366,615,51,1700,2130,1020,1290,270
428,EVA386,615,51,2155,,1315,,
