flight_id,A_i,S_i,U_i,original_gate,S,L,XL,B
170,65,95,73,16,0,1,0,80
171,265,30,274,16,0,1,0,80
172,420,60,433,16,1,0,0,40
173,510,60,524,16,1,0,0,40
174,592,73,604,16,1,0,0,40
175,762,118,770,16,0,1,0,80
176,902,98,915,16,1,0,0,40
177,1045,30,1058,16,0,1,0,80
178,1185,60,1184,16,1,0,0,40
179,1310,30,1331,16,0,1,0,80
180,1378,30,1386,16,1,0,0,40
181,65,85,75,17,1,0,0,40
182,283,227,297,17,1,0,0,40
183,540,60,550,17,0,1,0,80
184,750,70,761,17,0,1,0,80
185,846,119,851,17,1,0,0,40
186,993,182,1007,17,0,1,0,80
187,1188,30,1199,17,0,1,0,80
188,1262,30,1281,17,0,1,0,80
189,1360,60,-38,18,1,0,0,40
190,248,30,255,18,1,0,0,40
191,325,30,340,18,1,0,0,40
192,420,60,426,18,0,1,0,80
193,535,60,535,18,0,1,0,80
194,604,91,610,18,0,1,0,80
195,716,84,734,18,1,0,0,40
196,841,159,851,18,1,0,0,40
197,1007,83,1019,18,0,1,0,80
198,1083,107,1105,18,0,1,0,80
199,1209,30,1217,18,0,1,0,80
200,1285,30,1293,18,0,1,0,80
201,-55,60,-25,19,0,1,0,80
202,330,60,330,19,1,0,0,40
203,413,127,421,19,1,0,0,40
204,580,60,579,19,0,1,0,80
205,700,60,703,19,0,1,0,80
206,767,113,780,19,1,0,0,40
207,935,30,948,19,1,0,0,40
208,925,60,961,19,0,1,0,80
209,1023,30,1045,19,1,0,0,40
210,1079,91,1100,19,1,0,0,40
211,1260,175,1275,19,1,0,0,40
212,291,204,299,20,0,1,0,80
213,525,60,528,20,0,1,0,80
214,737,93,743,20,1,0,0,40
215,910,270,926,20,0,1,0,80
216,1176,234,1192,20,1,0,0,40
217,217,30,227,21,1,0,0,40
218,283,30,298,21,0,1,0,80
219,343,197,356,21,0,1,0,80
220,793,87,806,21,0,1,0,80
221,885,105,899,21,0,1,0,80
222,967,263,1003,21,0,1,0,80
223,1378,30,1393,21,1,0,0,40
224,1320,60,1329,21,1,0,0,40
225,267,293,276,22,1,0,0,40
226,711,104,718,22,1,0,0,40
227,855,60,855,22,0,1,0,80
228,949,201,952,22,1,0,0,40
229,1158,30,1159,22,0,1,0,80
230,1231,30,1241,22,0,1,0,80
231,1360,60,1358,22,0,1,0,80
232,400,60,416,23,1,0,0,40
233,500,60,505,23,0,1,0,80
234,979,30,997,23,1,0,0,40
235,1100,60,1110,23,1,0,0,40
236,1206,229,1224,23,0,1,0,80
237,269,181,278,24,1,0,0,40
238,485,130,487,24,1,0,0,40
239,810,60,809,24,0,1,0,80
240,957,30,967,24,1,0,0,40
241,1062,118,1069,24,0,1,0,80
242,1220,60,1235,24,0,1,0,80
243,1350,60,1350,24,0,1,0,80
244,1425,30,1429,24,1,0,0,40
245,295,30,306,25,1,0,0,40
246,375,30,388,25,0,1,0,80
